scale,mean,var
40961.67624268302,106912.66065227753,1677858920.6103823
28332.95613346922,65074.5738408116,802756403.2610911
30731.14146711045,76305.0266902703,944403055.8715554
27758.452884687085,89526.55436780826,770531706.5513927
28729.649313058362,65511.353577994145,825392749.6513147
28407.192554182748,65162.23170150473,806968588.8104157
17451.769559639404,31346.009668414245,304564260.76275647
17783.84690222684,53973.52182201947,316265210.6418432
23625.52665692575,59884.536801252805,558165509.8171092
27270.50577181372,90153.32327909036,743680485.0505254
29767.195287911672,100938.20051746443,886085915.3086709
27145.362974114272,108633.77558384967,736870730.9964141
28068.458410271425,62331.77183904133,787838357.5291367
27288.54692579347,90144.9587390209,744664793.3212322
36616.90854989491,92232.42929120992,1340797991.751367
27948.698197447196,69916.42016749506,781129730.9319882
35375.62572930908,79094.3169469599,1251434895.740155
28806.90356083178,65584.73377817117,829837692.7630626
25193.346338542306,82710.52645196432,634704699.7337431
26878.00267604076,97397.85844624498,722427027.8532542
35469.15843123665,79172.49199972764,1258061199.8201656
41265.64398517078,107147.17641451625,1702853373.5108612
26556.974791221182,70539.13379178866,705272910.0615574
22144.751650533482,81564.5988288963,490390025.6638054
21544.596333211713,50226.3166746102,464169631.16103965
28168.039136265303,62434.372165860965,793438428.7821738
29633.075909878306,69157.12902566895,878119187.8806099
30782.642054134303,105178.16695036426,947571051.8329579
21579.722119581653,50245.99203377136,465684406.75836164
23751.52677147168,60012.50888540887,564135023.9759359
19672.473767637577,80857.29733778171,387006224.1383886
23917.31118227367,87793.7678218833,572037774.189713
22029.858023998888,81410.10608020698,485314644.5575481
17765.46200670606,53973.28712466807,315611640.31171656
20307.19595183115,73935.38653230749,412382207.42606735
26574.290661669336,69326.27282630898,706192924.1708862
26864.829882331043,97372.82052154967,721719084.606587
27829.102526230734,89653.15060938244,774458947.4154618
28799.564967857532,58398.220194730035,829414942.3378468
26590.69803379326,69384.02825628106,707065221.9243767
23853.256533603027,87708.74855314223,568977847.2578754
27941.491575055017,69942.07258119425,780726951.4388704
26606.183339600168,66559.02682644516,707888991.9004174
57582.58324245496,134453.93599782122,3315753892.8742547
30816.801159583512,105096.75502144753,949675233.7093078
27140.103539172334,108703.8857493021,736585220.1169946
59943.51013268016,156396.3981071696,3593224407.0267286
57594.307799046124,134488.01838360456,3317104290.851265
26460.60332499363,70402.34676925172,700163528.322664
17473.11879355134,31365.089466875466,305309880.3735571
35552.59003335206,126666.05072513106,1263986658.0796044
28818.40647291125,58385.58555184858,830500551.637933
25204.3936387273,82721.65323074828,635261458.6959171
30896.884969962244,76460.41009055628,954617500.8470789
35525.826071484684,126717.18533396881,1262084318.0613809
20344.45607607722,74002.33934772247,413896893.0314353
19682.726144618005,80811.6033226663,387409708.4840292
36606.48558558445,92275.05031660652,1340034786.927602
48678.729779791945,122005.74487642132,2369618732.9740033
59977.15855511406,156422.16116293322,3597259548.3452916
29673.732565245304,69133.15551167699,880530404.3536997
29823.266366236057,101034.44849186356,889427216.7514668
48695.20857781658,122025.95635596105,2371223338.4370613
26653.131121539176,66660.43269558113,710389398.5819601
14334.337606487663,35007.09464151971,205473234.61676645
10162.975250227659,21867.14005583169,103286065.93673995
9898.415736158506,22770.546061142508,97978634.08583033
8593.47717371445,27260.537073602507,73847849.9351513
9214.061690791643,21248.73214407299,84898932.84171416
8964.909090552237,19878.810648873154,80369595.00186615
5151.555166556392,7664.982773881664,26538520.634073853
6004.313962763926,16276.126097909717,36051786.16344184
8276.173795469887,15923.854360999523,68495052.69282244
